time;min_news_score;min_prop;min_cos_dist;true_postive;false_positive;true_negative;false_negative;accuracy;not_verified
24414.491624593735;0.1;0.1;10.0;0;0;13;11;0.5416666666666666;76
69581.86500597;0.1;0.1;15.0;1;0;13;11;0.56;75
165583.22896003723;0.1;0.1;20.0;4;0;13;11;0.6071428571428571;72
